Type,Event,ConID
convention,1830-09-24,1830.PA-09.24.PHIL.01
convention,1831-06-06,1831.PA-06.06.PHIL.01
convention,1832-06-04,1832.PA-06.04.PHIL.01
convention,1833-06-03,1833.PA-06.03.PHIL.01
convention,1834-06-02,1834.NY-06.02.NEWY.01
convention,1834-06-02,1834.NY-06.02.NEWY.02
convention,1840-08-18,1840.NY-08.18.ALBA.02
convention,1840-08-18,1840.NY-08.18.ALBA.03
convention,1840-08-18,1840.NY-08.18.ALBA.04
convention,1840-08-18,1840.NY-08.18.ALBA.05
convention,1840-08-18,1840.NY-08.18.ALBA.06
convention,1840-08-18,1840.NY-08.18.ALBA.07
convention,1840-08-18,1840.NY-08.18.ALBA.08
convention,1840-08-18,1840.NY-08.18.ALBA.09
convention,1840-08-18,1840.NY-08.18.ALBA.10
convention,1840-08-18,1840.NY-08.18.ALBA.01
convention,1841-10-06,1841.ME-10.06.PORT.02
convention,1841-10-06,1841.ME-10.06.PORT.01
convention,1841-08-25,1841.NY-08.25.TROY.01
convention,1841-08-23,1841.PA-08.23.PITT.01
convention,1841-08-23,1841.PA-08.23.PITT.02
convention,1842-07-17,1842.IN-07.17.INDI.01
convention,1843-08-03,1843.MA-08.03.SALE.01
convention,1843-10-26,1843.MI-10.26.DETR.01
convention,1843-08-15,1843.NY-08.15.BUFF.01
convention,1844-09-18,1844.NY-09.18.SCHE.01
convention,1844-09-18,1844.NY-09.18.SCHE.02
convention,1845-09-08,1845.NY-09.08.GENE.01
convention,1847-11-06,1847.NY-11.06.TROY.02
convention,1848-09-06,1848.OH-09.06.CLEV.01
convention,1848-12-13,1848.PA-12.13.HARR.01
convention,1849-09-12,1849.CT-09.12.NEWH.01
convention,1849-08-21,1849.NJ-08.21.TREN.01
convention,1849-01-10,1849.OH-01.10.COLU.01
convention,1850-10-20,1850.ME-10.20.PORT.01
convention,1850-08-21,1850.NY-08.21.CAZE.01
convention,1850-08-21,1850.NY-08.21.CAZE.02
convention,1850-01-09,1850.OH-01.09.COLU.01
convention,1851-08-01,1851.IN-08.01.INDI.01
convention,1851-01-15,1851.OH-01.15.COLU.02
convention,1851-01-15,1851.OH-01.15.COLU.01
convention,1852-07-27,1852.MD-07.27.BALT.01
convention,1853-10-06,1853.IL-10.06.CHIC.01
convention,1853-07-06,1853.NY-07.06.ROCH.01
convention,1854-09-27,1854.CT-09.27.MIDD.01
convention,1854-09-27,1854.CT-09.27.MIDD.02
convention,1854-01-02,1854.MA-01.02.BOST.01
convention,1854-01-02,1854.MA-01.02.BOST.02
convention,1854-12-17,1854.MA-12.17.BOST.01
convention,1854-01-02,1854.NY-01.02.ALBA.01
convention,1855-11-20,1855.CA-11.20.SACR.01
convention,1855-04-18,1855.CT-04-18.HART.01
convention,1855-01-20,1855.NY-01.20.ALBA.01
convention,1855-09-04,1855.NY-09.04.TROY.01
convention,1855-09-04,1855.NY-09.04.TROY.02
convention,1855-10-16,1855.PA-10.16.PHIL.01
convention,1856-12-09,1856.CA-12.09.SACR.01
convention,1856-11-13,1856.IL-11.13.ALTO.01
convention,1856-01-16,1856.OH-01.16.COLU.01
convention,1857-10-20,1857.CA-10.20.SANF.01
convention,1857-10-20,1857.CA-10.20.SANF.02
convention,1857-01-05,1857.IA-01.05.MUSC.01
convention,1857-01-21,1857.OH-01.21.COLU.01
convention,1858-08-01,1858.MA-08.01.NEWB.01
convention,1858-09-14,1858.NY-09.14.TROY.01
convention,1859-01-25,1859.IN-01.25.INDI.01
convention,1859-08-01,1859.MA-08.01.BOST.01
convention,1859-08-01,1859.MA-08.01.BOST.02
convention,1863-10-13,1863.KS-10.13.LEAV.01
convention,1863-07-16,1863.NY-07.16.POUG.01
convention,1864-10-04,1864.NY-10.04.SYRA.01
convention,1865-10-25,1865.CA-10.25.SACR.01
convention,1865-06-06,1865.CT-06.06.NEWH.01
convention,1865-10-24,1865.IN-10.24.INDI.01
convention,1865-12-20,1865.MA-12.20.BOST.01
convention,1865-12-20,1865.MA-12.20.BOST.02
convention,1865-09-29,1865.NC-09.29.RALE.01
convention,1865-09-29,1865.NC-09.29.RALE.02
convention,1865-09-29,1865.NC-09.29.RALE.03
convention,1865-09-29,1865.NC-09.29.RALE.04
convention,1865-07-13,1865.NJ-07.13.TREN.01
convention,1866-10-17,1866.KS-10.17.LAWR.01
convention,1866-01-01,1866.MD-01.01.BALT.01
convention,1866-01-01,1866.NY-01.01.ALBA.01
convention,1866-08-08,1866.PA-08.08.PITT.01
convention,1866-08-05,1866.TN-08.05.NASH.01
convention,1867-05-04,1867.AL-05.04.MOBI.01
convention,1867-01-10,1867.DC-01.10.WASH.01
convention,1867-01-28,1867.DC-01.28.WASH.01
convention,1867-01-16,1867.OH-01.16.CINC.01
convention,1867-01-08,1867.PA-01.08.PHIL.01
convention,1867-01-08,1867.PA-01.08.PHIL.02
convention,1868-08-05,1868.MD-08.05.BALT.01
convention,1868-08-11,1868.PA-08.11.WILL.01
convention,1869-11-01,1869.GA-11.01.MACO.01
convention,1869-06-01,1869.MD-06.01.BALT.01
convention,1870-10-31,1870.NY-10.31.SYRA.01
convention,1871-02-22,1871.TN-02.22.NASH.01
convention,1872-04-13,1872.NE-04.13.OMAH.01
convention,1872-08-31,1872.PA-08-31.HARR.01
convention,1873-12-18,1873.DC-12.18.WASH.02
convention,1873-06-03,1873.NJ-06.03.NEWB.01
convention,1877-08-22,1877.KY-08.22.FRAN.01
convention,1879-05-06,1879.TN-05.06.NASH.01
convention,1883-09-24,1883.KY-09.24.LOUI.01
convention,1884-08-06,1884.TX-08.06.HOUS.01
convention,1871-10-18,1871.SC-10.18.COLU.01
convention,1865-01-10,1865.OH-01.10.XENI.01
convention,1865-06-05,1865.VA-06.05.NORF.01
convention,1866-01-10,1866.GA-01.10.AUGU.01
convention,1835-06-01,1835.PA-06.01.PHIL.01
convention,1847-08-01,1847.ON-08.01.DRUM.01
convention,1851-08-01,1851.IN-08.01.INDI.02
convention,1865-08-07,1865.TN-08.07.NASH.01
convention,1867-11-26,1867.KY-11.26.LEXI.01
convention,1883-07-18,1883.SC-07.18.COLU.01
convention,1885-11-26,1885.KY-11.26.LEXI.01
convention,1865-09-09,1865.PA-09.09.HARR.01
convention,1873-07-03,1873.TX-07.03.BREN.01
convention,1851-07-22,1851.NY-07.22.ALBA.01
convention,1851-09-11,1851.ON-09.11.TORO.01
convention,1851-09-11,1851.ON-09.11.TORO.02
convention,1852-01-14,1852.OH-01.14.CINC.01
convention,1853-01-19,1853.OH-01.19.COLU.01
convention,1853-06-16,1853.ON-06.16.AMER.01
convention,1854-08-24,1854.OH-08.24.CLEV.01
convention,1858-11-23,1858.OH-11.23.CINC.01
convention,1858-05-08,1858.ON-05.08.CHAT.01
convention,1865-11-30,1865.AR-11.30.LITT.01
convention,1865-01-09,1865.LA-01.09.NEWO.01
convention,1865-09-12,1865.MI-09.12.DETR.01
convention,1865-10-19,1865.OH-10.19.CLEV.01
convention,1865-02-08,1865.PA-02.08.HARR.01
convention,1865-11-20,1865.SC-11.20.CHAR.01
convention,1865-08-02,1865.VA-08.02.ALEX.01