Label,modularity_class
Peter Wandell,1
Albert Brown,1
Peter Ofdyke,1
John T. Simpson,1
John Dunbar,1
Garret Harris,1
Henry Harris,1
N. Caesar,1
N. Hardy,1
Thomas Gray,1
F. Lattin,1
Henry L. Simpson,1
H. M. I. Rogers,1
Daniel A. Oliver,1
Francis Whitbeck,1
Francis Cobus,1
Alexander Welch,1
A. James,1
Isaac Hornbeck,1
John Tribble,1
Caroline Jones,1
Constantin,1
Peter P. Feler,1
Samuel Serrington,1
Robert H. Johnson,1
Simon Jackson,1
Nicholas Hemous,1
Powel,1
R. Thompson,1
Serrington,1
James Mccune,1
Wm. P. Powell,1
Reuben Murray,1
Francis Simpson,1
G.B. Moreton,1
E. George,1
Wm. Begget,1
W. Gordon,1
R. Livingston,1
L.D. Beckett,1
Carrasol,1
John H. Smothers,1
Thomas Whitbeck,1
Samuel Serringson,1
C. F. Selden,1
H.J.M. Rogers,1
W. P. Powell,1
P. Powell,1
Messrs,1
J. Mccune Smith,1
P. Powel,1
Lyceums,1
H. H.,1
Moreton,1
R. Johnson,1
Theodore St. Wright,1
Theodore Sedgwick Wright,1
Anthony,15
Sedgwick Wright,1
Jeremiah Powers,1
James M'Cune Smith,5
Bouck,1
Ulysses B. Vidal,9
V.,1
Moulton,1
J. M'Cune Smith,1
Rich,1
U. B. Vidal,1
W. B. Powell,1
H. K. Thomas,0
T. E. Grant,0
William W. Brown,15
Wm. H. Seward,9
William H. Seward,15
Wm. W. Brown,15
Burgess,0
Charles Miner,0
Clark,5
Martindale,0
J. C. Kneeland,1
Peyton Harris,15
Wm. C. Nell,9
Charles Seth,1
John Spence,1
Henry Morton,1
James H. Gardner,1
L. Harper,1
James H. Davis,1
Wiliam S. Baltimore,1
Littleton Becket,1
William G. Allen,1
Henry Brister,1
Griffin Griffins,1
Enoch Moore,15
William H,1
Topp,1
Stephen Woods,1
John Harrison,1
George B. Wilson,1
Benjamin Cutter,1
Abraham Caldwell,1
A. Hooper,1
P. Farnum,1
Wm. Warren,1
George Haggimore,1
Samuel Van Wranken,1
John Lyle,1
Willis A. Hodges,1
Thomas Van Rensselaer,1
Moses A. Jackson,1
Wm. P. Mcintyre,1
Lewis Jackson,1
Williams Meads,1
R. D. Kenny,9
James Blair Webb,1
Charles Van Hoosen,1
William C. Nell,9
Benjamin Weeden,1
Henry Watson,1
Leonard Collins,1
Charles C. Seth,1
James Mars,1
Samuel Smith,1
P. I. Schuyler,1
Thomas Thomas,1
Martin Thomas,1
Z. P. Purnell,1
Ames G. Beman,1
Peter G. Smith,1
Lewis Hayden,1
J. Billings,1
Samuel B. Hyers,1
H. Topp,1
Wm. P. Mcintrye,1
L. Collins,1
Van Rensselaer,1
R. D. Jenny,1
J. Mc.Smith,1
S. Baltimore,1
W. C. Nell,1
Seth,1
J.Mccune Smith,1
Wm H. Topp,1
G.B. Wilson,1
P.G. Smith,1
George Wilson,1
J. Mc,1
Cune Smith,1
Lyall,1
C.,1
E. N. Hall,1
Leonard Coliins,1
J. M. C. Smith,1
R. D. Kenney,1
John C Spence,1
Harper,14
Geo W Gordon,1
James H Henderson,1
Geo Haggimore,1
Geo H Baltimore,1
Henty Brister,1
Griffen Griffin,1
Leollard Collins,1
Chas C Seth,1
J Schuyler,1
J W Pennington,1
Samuel B Hyers,1
Willis A Hodges,1
Thos Van Rensselaer,1
Mosel A Jackson,1
Nell,9
Amos Gerry Beman,1
B. Weeden,1
Van Rensseiaer,1
T. Van Rensselaer,1
William S Baltimore,1
Chas B Ray,1
Griffen Griffins,1
William H Topp,1
John Harrisson,1
William Meads,1
Geo B Wilson,1
Jamcs Mccunc Smith,1
Purnell,1
Henry H Gamet,1
H W Johnson,1
John Lyles,1
Thos Van Renselaer,1
Kenny,1
Chas Van Hoosen,1
Wm W. Brown,1
Amos G Beman,1
L. Hayden,1
Henderson,1
Hyers,1
Weeden,1
Henry Highland Garnet,15
G Beman,1
William H.Topp,1
Moses Jackson,1
William A. Tyson,1
George T. Downing,15
Albro Lyons,1
N. B. Vidal,1
Christopher Rush,1
E. V. Clark,1
William Douglass,15
Kenney,1
M. A. Jackson,1
M. Sumner,1
Alex. Thuey,1
Robert Barks,1
N. J. Benj,1
T. H. Henderson,1
R H Johnson,1
Van Hoosen,1
Henry H Garnet,1
H Morton,1
Geo W Gorden,1
J H Davis,1
Van Wranken,1
Hodges,1
Moore,14
Wm Meads,1
J B Webb,1
Benj Wheeden,1
Saml Smith,1
Thos Thomas,1
Meads,1
J Spence,1
Morton,1
J H Henderson,1
G W Gordon,1
Samuei Smith,1
J W C Pennington,1
Harris,5
W W Brown,1
Hayden,1
John C. Spence,1
H. H. Gamet,1
A. M. Sumner Cincinnati,1
V. P. Pennington,1
Suasian,1
Spense,1
N. Y. Minutes,1
Garnett,17
Lee,15
Lewis Putnam,1
Spence,1
W. H. Topp,1
Horn,1
Andrew Purnell,1
George B. Vachon,1
G. B. Wilson,1
Peter Constantine,1
George Ennis,1
Peter Jallep,1
James Millington,1
George Reily,1
Robert Duaney,1
Randall D. Kenney,1
Alex. Theuy,1
God,1
Gerrit Smith,5
John C. Calhoun,1
John Dick,3
William H. Burnham,3
C. H. Langston,5
L. Watson,3
J. Jones,3
William H. Day,5
Allen Jones,3
Justin Holland,5
C.H. Langston,11
Thomas Brown,5
J. L. Watson,5
Allan Jones,3
Cox,1
Sayres,3
Dayton,3
Henry Lott,3
Fitzgerald,3
J. M. Langston,5
Delany,0
W. H. Day,5
J. D. Patterson,3
John L. Watson,3
Copeland,5
Van Buren,3
Kenyon,3
Lightfoot,3
Sabram Cox,3
Richard Copeland,3
W. B. Depp,3
H. G. Turner,3
P. M.,3
William Ruth,3
Andrews,3
Alexander Bowman,3
J. Lott,5
O. D. O'Brien,3
Sanford,0
John M. Sterling,3
Langston,5
Frederick Douglas,3
N. Y. Charles H. Langston,3
George Day,3
Josiah Conville,3
Mason,13
W. L. Day,3
H. Jenkins,3
H. Francis,3
George W. Goines,15
M.W. Gibbs,0
Samuel Van Brakle,9
Abram D. Shadd,0
George Galbraith,0
Francis A. Duterte,9
Joseph E. Gardner,0
Joseph Murry,0
George C. Anderson,0
Daniel Williams,15
Wm. Webb,0
Edward Hawkins,0
Joseph Johnson,0
Jacob Stratton,0
Joseph St. Clair,0
John N. Bond,0
Charles E. Clayton,0
Wm. Thomson,0
John Wolf,0
Henry H. Price,0
John F. Williams,9
Thomas Earley,0
John Gray,0
Andrew Gorden,0
William Spence,0
Joseph Popel,0
Charles I. Dorris,0
Edward Thomason,0
George Adley,0
Richard C. Brown,0
James Popel,0
James Reese,0
Wm. H. Davis,0
Charles L. Robertson,0
Daniel Jackson,0
Valentine Brown,0
Nelson H. Turpen,0
Jesse Bolden,9
Isaac J. Dickson,0
Samuel Molston,0
John L. Griffith,0
Philip Roderic,0
Leonard A. Williams,0
Wm. H. Wilson,0
Washington Webster,0
Robert Boston,0
David Roach,0
Jonathan Graham,0
David B. Bowser,11
James D. Knight,0
Mifflin W. Gibbs,0
Isaiah Ware,0
James Mccrummel,0
David J. Peck,0
Henry Cooper,0
Benjamin Moore,0
Wm. Marten,0
Perry Miller,0
John Lee,0
Wm Cupit,0
Blair,11
Franklin,11
J. G. Wolf,0
H. H. Price,0
James Mccrummell,0
F.A. Duterte,0
John G. Wolf,0
Thomas Early,0
Charles Lenox Remond,0
Martin R. Delany,0
Woodson,9
M. W. Gibbs,14
D. J. Peck,0
J. C. Bowers,9
Wm. Jones,0
Turpin,0
Bowser,5
Gibbs,15
Bowers,9
Dickson,0
Van Brakle,0
Isaiah C. Weir,0
S. Van Brakle,0
G. W. Goines,0
J. F. Markley,0
I. J. Dickson,0
F. A. Duterte,0
Edward M. Davis,0
Jefferson,14
Cerro Gordo,0
Halls Of The Montezumas,0
Locke,0
Wistars,0
Ross,5
Paine,0
Gerry,0
Hopkins,0
Ellery,0
J. F. Dickson,0
M. W. Gibbes,0
Somersett,0
Mansfield,0
Martin,15
Forten,0
George Iii,14
Michael Servetus,0
Emmet,14
Paul,5
Peter,5
Aminadab,0
Cicero,0
J. J. Dickson,0
M.W. Gibbes,0
Wm. T. Catto,0
Joseph C. Moore,0
J. Ware,0
D. B. Bowser,5
Peter Lester,0
S. M. Africanus,6
H. Nott,6
Isaac Cross,5
Jehiel C. Beman,5
Samuel T. Gray,9
W. Francis,6
J. Emery Burr,6
D. Gordon,6
L. Black,6
A. J. Morrison,9
L. H. Peters,6
Levin Smith,6
Henry Nott,6
Henry Foster,6
George Garrison,6
R. C. Huntington,6
Charles Daniels,6
Leverett C. Beman,5
George W. Francis,5
Charles Hubbard,6
Philander Pitts,6
William Allen,6
Henry Davis,6
J. Demming,6
A. C. Luca,6
Robert J. Cowes,6
Paul Hall,6
Thomas Cisco,6
H. S. Merriman,6
John Turner,6
Edward Galpin,9
T. B. Potter,6
William Thompson,6
Amos C. Beman,6
Samuel Ellis,6
William Spellman,6
James L. Smith,6
Uriah W. R. Pelham,6
Pelam M. Williams,6
David Gordon,6
George L. Williams,6
William Anderson,6
George Fairweather,6
Mason Gauson,6
Jacob Coggswell,6
George W. Francis Of Bridgepport,6
Posey,6
L. C. Beman,6
S. N. Africanus,6
Alexandaer Posey,6
Perry Davis,6
B. Randall,6
Middleton,6
G. Garrison,6
E. C. Freeman,6
C. Snipes,6
H. A. Thompson,6
J. C. Beman,9
G. W. Francis,6
Leonard Colllins,6
Prince W. West,6
Charles Williams,6
R. J. Cowes,6
Minius Lyman,6
Francis Cisco,6
Thomas B. Potter,6
Wm. F. Bouchet,6
Robert M. Park,6
Pelman M. Williams,6
Leonarad Black,6
J. Scott,6
Abraham Morrison,6
Nathaniel Holland Danbury,6
Lyman H. Peters,6
Stephen Wright,6
John B. Clarke,6
Henry Berrian,6
George A. Spywood,6
Elymus P. Rogers,6
N. J. Henry Bibb,6
J. E. Burr,6
S. T. Gray,6
Leonard Black,6
P.M. Williams,6
A. Morrison,6
George Snipes,6
Spellman,6
John Emery Burr,6
Ellis,6
Rogers,14
A. Posey,6
L.C. Beman,6
H.A. Thompson,6
R.J. Cowes,6
H.S. Merriman,6
J.L. Smith,6
W. Peters,6
N. Thatcher,6
J.B. Clarke,6
A.J. Morrison,6
S.M. Africanus,6
G.W. Francis,6
L. Carter Beman,6
Ellsworth,6
Henry A. Thompson,9
Wm. Blackstone,6
Bushnell,6
Wm. W. Ellsworth,6
Crandall,6
Sam ` L. T. Gray,6
J. B. Clarke,6
William Wolcott Ellsworth,6
Oliver Ellsworth,6
Prudance Crandall,6
Sarah Harris,6
John Milton,6
Johannes Kepler,6
Jonathan Edwards,6
Theodore Dwight,6
Timothy Dwight,6
Joshua Woodlin,10
George Shreve,10
Conover,10
Robert D. Stewart,10
Leonard Shields,10
Alexander Brown,10
David Stevens,10
Murray Wells,10
J. S. Rock,9
Mansfield Herbert,10
George Mcmullen,10
Robert Thomas,10
Benjamin Stewart,10
H. A. Burton,10
Lewis Conover,10
Ishmael Locke,10
G. Lewis,10
S. Harrison,10
J. Woodlin,10
R. D. Stewart,10
G. Shreve,10
M. Wells,10
I. Locke,10
Catto,11
William T. Catto,10
W. T. Catto,10
Lawrence Chaplin,4
Samuel J. May,5
"Samuel Thomas , Jr.",5
Samuel Wells,5
Mary Springstead,5
James Baker,3
Fordyce Rice,5
Caroline Brown,5
James C. Jackson,5
William L. Chaplin,5
Joseph C. Hathaway,5
William R. Smith,5
Eleazer Seymour,5
F. Rice,5
Phebe Hathaway,5
Louisa Burnett,5
Francis Hawley,5
A. Wheaton,5
Charles D. Miller,5
Anne V. Adams,5
Goodell,5
H. Burleigh,5
Loguen,3
E. L. Platt,5
Theodosia Gilbert,5
Chaplin,5
Charles A. Wheaton,5
G. W. Clark,5
Wm. R. Smith,5
George W. Lawson,5
Cyrus P. Grosvenor,5
G. W. Johnson,5
Francis Jackson,5
John G. Whittier,5
Silas Cornell,5
Thomas Davis,5
C. D. Cleveland,5
E. M. Davis,5
C. C. Foote,5
Hon J. R. Giddings,5
G. W. Julian,5
C. Durkee,5
George W. Clark,5
Edmonson,5
Daniel Webster,14
John Mclean,5
Mclean,5
Moses Stuart,5
F. Julius Lemoyne,5
William Goodell,5
Lemoyne,5
Wm. L. Chaplin,5
Charles T. Torrey,5
Sayre,5
L. D. Taylor,5
C. A. Yancy,5
N. Nooks,5
A. Strauder,5
C. Ross,5
G. Hilton,5
H. Ford,5
J. D. Pattison,5
L. Adams,5
J. Purnell,5
J. Mercer Langston,5
H. F. Douglass,5
Monroe Jones,5
A. Yancy,5
J. W. Stuart,5
W. Stuart,5
J. Gee,5
K. Artis,5
D. S. Moss,5
G. Adams,5
F. Wilson,5
H. Lott,5
J. J. Pearce,5
S. Jones,5
A. Dempsey,5
W. P. Morgan,5
J. W. Divine,5
J. H. Johnson,5
T. H. Dorsey,5
J. P. Underwood,5
D. Roberts,5
W. H. Burnham,5
G. R. Williams,5
J. Poindexter,5
J. Booker,5
P. Letchford,5
W. S. Davis,5
J. M. Brown,13
T. Washington,5
T. J. Goode,5
D. Hart,5
D. Trent,5
W. Copeland,5
J. Bennett,5
J. Freeland,5
Morgan Melton,5
J. W. Delany,5
J. Taylor,5
G. W. Evans,5
John Gee,5
George R. Williams,5
Wm. Copeland,5
W,5
John Mercer Langston,5
T. H. Johnson,5
Greene,1
Eric,5
D. L. Moss,5
Jason,5
Pike,5
Morgan,5
Day,5
J. Watson,5
Poindexter,5
Burnham,5
Divine,5
Underwood,5
Artis,5
T. Brown,5
Lott,5
Nooks,5
J. Jackson,5
L. N. Milnor,5
Sampson P. Lewis,5
M. Jones,5
Gee,5
M. Langston,5
John Booker,5
A. M. Taylor,5
Booker,5
Yancey,5
Lewis Adams,5
Scurry,5
Elder Jones,5
Henry Hurd,5
L. W. Minor,5
Nichols,5
Samuel Jones,5
T. Crawford,5
L. W. Miner,5
Mr. W. H. Burnham,5
A. R. Green,5
V. William H. Day,5
Wm. H. Burnham,5
R. Williams,5
Carthagena,5
John A. Warren,12
W. J. Greenly,12
J. Callihan,12
T. Bushrod,12
W. H. Manly,12
P. B. Delany,12
J. L. Johnson,12
J. H. Bundy,12
W. H. Carter,12
J. Mitchell,12
Floyd,12
J. A. Warren,12
W. Couzins,12
W. Chandler,12
D. Johnson,12
D. Dudly,12
Bartholomew,12
J. J. Fitzgerald,12
B. Crider,12
Anderson,14
E. Weaver,15
Gibson,12
J. B. Delany,12
Blanks,12
J. Merriwether,12
John Morgan,12
D. N. Mcdowell,12
W. T. Boyd,12
J. Manly,12
John Quincy Adams,5
Edward Freeman,1
C. Edward Seth,1
Hiram Johnson,1
Richard Wright,1
H. Hicks,1
Francis Douge,1
Charles E. Seth,1
Wm. C. Gardiner,1
James P. Johnson,1
John Springsteel,1
James M. Williams,9
James Youngs,1
Peter Vandeveer,1
Jacob Ennis,1
Edward H. Bishop,1
Abraham Stanley,1
Daniel Hall,1
Lloyd Hasper,1
Henry Hicks,1
Martin Cross,1
John N. Stiles,1
F. Johnson,1
C. E. Seth,1
Hitam Johnson,1
John N. Still,5
James Morris Williams,1
P. Mcintyre,1
F. Douge,1
William P. Mcintyre,1
W. P. Mcintyre,1
Mcintyre,1
Hicks,16
Wm. F. Johnson,15
Cutler,1
J. P. Johnson,1
R. Wright,1
W. F. Johnson,1
J. N. Stills,1
J. W. Williams,1
B. F. Cutler,1
W. C. Gardner,1
E.N. Hall,1
J.N. Still,1
P. Vandivere,1
Still,1
J. N. Still,1
E. Edward Seth,1
T. Johnson,1
A. Williams,1
A.G. Berman,1
W.F. Johnson,1
Hall,14
Tompkins,1
Wm. Mcintyre,1
F. H. Douge,1
W. Rich,1
Pons,1
Briant,1
Stanton,1
Erie,1
Benjamin F. Cutler,1
William Gardener,1
Hereupon,1
James Monroe,1
Mcilvain,1
Chan,1
Kent,5
John Davenport,1
John Nelson Still,1
George Walker,1
Washington Hunt,1
Edwin D. Morgan,1
Marquis De Lafayette,1
Horace Greeley,13
Morell,1
Alexander Proudfit,1
Thomas Buchanan,1
Jehudi Ashmun,1
Henry Clay,5
Elliott Cresson,1
Ralph Randolph Gurley,1
John B. Pinney,1
Frederick Perry Stanton,1
James Kent,1
James Sommerset,1
Manfield,1
Daniel,1
Belshazzar,1
Davenport,1
Edward Whalley,1
William Goffe,1
Charles,1
Charles Z. Lincoln,1
E. Glover,5
Webster,5
Seward,15
Noyes,5
Jenks,5
Bey,5
Wm. Allen,5
Baldwin,5
Saml,5
Galloway,5
Charles H. Langston,5
Charles A. Yancey,5
W. H.Burnham,5
T. N. Stewart,5
H. Ford Douglass,5
H. H. Ford,5
Wm. Roberts,5
Wm. Hope,5
Wm. P. Morgan,5
G. Stanup,5
W. Hurst Burnham,5
A. Barrett,5
James Poindexter,5
John T. Ward,5
James Dunlap,5
Heathcock,5
William Walden,5
J. Berde,5
J. Mccarter Simpson,5
Thomas Haines,5
Jerome Stebot,5
Felix Whitsill,5
Darius Roberts,5
Mills Melton,5
W. Howard Day,5
Joseph Henry Perkins,5
John I. Gaines,5
Lawrence W. Miner,5
Charles A. Yancy Esq.,5
P. Morgan,5
Hamilton Campbell,5
Simpson,5
J. T. Ward,5
Barrett,5
J. Mcc,5
J. Mcc Simpson,5
William Hope,5
L. D. Tayor,5
H. Langston,5
E. Davis,5
Yancy,5
Bunker Hill,5
Wm. Jackson,5
J. Parnell,5
Sterling Heathcock,5
J. Bird,5
Thomas Harris,5
Levi Day,5
E. Whitsill,5
Joseph H. Perkins,5
Lawrence W. Minor,5
J. I. Gaines,5
Perkins,13
J. H. Perkins,5
R. Wood,5
J. Henry Perkins,5
W. Roberts,5
L. A. Stanton,5
M. J. Hopkins,5
L. M. Jenkins,5
C. Hacley,5
S. Mason,5
S. P. Scurry,5
Blind,5
Charles I.,5
Reuben Wood,5
Queen Victoria,5
Charles A. Yancy,5
Joseph Warren,5
Francis Marion,5
Nero,5
Nero Claudius Caesar,5
Caligula,5
Caius Caesar Germanicus,5
Esther,12
Haman,5
Mordecai,5
John Fortescue,5
Edward Coke,5
William Curtis Noyes,5
Kansas-Nebraska Bill,5
Roger Sherman Baldwin,5
Samuel Galloway,5
Horace Mann,5
J.T. Fisher,3
J.S. Cary,3
Thomas Smallwood,3
James D. Tinsley,3
D. Hollins,3
Jabez P. Campbell,9
Jd Fisher,3
James Thomas Fisher,3
Hiram Wilson,3
Josiah Henson,3
Wh Harris,3
John J. Carey,3
William H. Harrison,3
David Hollins,3
F. Lacy,3
B. Hoyt,3
William Scott,3
Isaac Washington,3
D. Goodley,3
G. Moragn,3
G. Brackston,3
G. Carey,3
W.P. Newman,15
J. Wilson,5
L.P. Barton,3
E.B. Dunlop,3
H. Grey,3
H. Wilson,3
Lawson,3
H.R. Thomas,3
B.F. Young,3
J. Simpson,3
J. Mclean,3
R. Cheney,3
A. Smith,3
H. Brent,3
A. Anderson,3
H.F. Stanton,3
F. Russel,3
J. Burns,3
J. Wagner,3
F. Degroat,3
J.C. Brown,3
J. Lisle,3
John Scoble,3
Henry Grey,3
Isaiah Clifford,3
J.P. Campbell,3
George Carey,3
T. Smallwood,3
J.J. Carey,3
Scoble,3
Campbell,3
J.C. Browns,3
J. C. Brown,3
Delaney,3
Wm H Topp,3
Henry F Stanton,3
Payton Harris,5
J P Campbell,3
Messrs Bibb,3
Jt Fisher,3
Wh Topp,3
J Lyles,3
F Russel,3
H K Thomas,3
Baker,9
Hollins,3
J Lisle,3
J D Tinsley,3
Jp Campbell,3
Israel Campbell,3
William H. Harris,3
Scobie,3
H. Henson,3
J T Fisher,3
Fisher,3
Sandwich,3
Samuel R Ward,3
G. Beeman,3
M R Delaney,3
J. T. Fisher,3
J. Theodore Holly,3
William Tasker,2
Frederick,2
H. H. Webb,2
Josiah Hughes,2
Cornelius Campbell,2
William Williams,2
James A. Handy,2
William Perkins,2
Webb,2
Charles Wyman,2
Allen Lockerman,2
Caroline,2
B. Jenifer,2
Charles O. Fisher,2
John H. Walker,2
Walker,9
C. Perry,2
Stokes,14
Charles Williamson,2
Baltimore Sun,2
Ephraim Lawson,2
Wm. Tasker,2
F. Harris,2
James A. Jones,2
Stephen W. Hill,2
Williamson,9
James A. Jackson,2
Nicholas Penn,2
Patrick Henry,14
Handy,14
Charles Dobson,2
Wyman,2
Joseph Bantem,2
O. Fisher,2
H. Walker,13
Thomas Buller,2
Daniel J. Ross,2
J. D. Bonner,5
Cook,5
R. J. Robinson,5
Madison,5
A. H. Richardson,5
Jo,5
Daviess,5
Edgar,5
Coles,5
Augustus Dobbins,5
W. L. Barnes,5
Thomas Mason,5
Byrd Parker,5
H. Ellsworth,5
A. Ellsworth,5
Job Vinient,5
H. O. Wagoner,5
Willian Johnson,5
E. Gordon,5
Alex Smith,5
C. W. Campbell,5
R. H. Rollins,5
William T. Watson,5
S. Sparrow,5
Mead,5
Bennet Johnson,5
John Jones,5
Lewis Isbell,5
J. H. Barguet,5
B. Smith,16
E. A. Fulton,5
Augustus Hill,5
William Liverse,5
A. W. Jackson,5
B. Henderson,5
R. H. Cain,5
J. Robinson,5
T. Y. Mason,5
William Smallwood,5
H. Brown,5
S. Donagan,5
William Robinson,5
W. H. Butler,5
William J. Davis,5
A.H. Richardson,5
W.H. Smallwood,5
Alex. Smith,5
A. M. Ellsworth,5
W. T. Watson,5
E. Morris,5
Job Vincent,5
A. T. Burgundy Smith,5
H. Bradford,5
Dobbins,5
C. M. Clay,5
Lewis Tappan,5
David Paul Brown,5
Durkee,5
Horace Greeley5,5
Codding,5
J. Davis,5
B. Parker,5
Harriet Beecher,5
E. D Holton,5
Snodgrass,5
Wagoner,5
Parker,12
Robinson,13
Donagan,5
Newsom,5
Alexander Smith,12
R. L. Cooper,5
Bonner,5
Barguet,5
H. B. Stowe,5
H. L. Barnes,5
Xxiii,5
Harriet Beecher Stowe,5
Tom,5
Galena,5
Spencer Donagan,5
Wlliam H. Robinson,5
B. J. Smith,5
A. T. Hall,5
Wm. Robinson,14
Arthur,5
Bertram Wyatt-Brown,5
Louis Ruchames,5
Stowe,5
Henry M. Wilson,5
Edward V. Clark,9
Wm. J. Wilson,5
Jacob P. Morris,5
J W. Loguen,5
Wm. Joeson,5
John N. Smith,5
Johm Mercer Langston,5
Wm. H. Day,5
Charles H. Reason,5
L. Kelly,5
Robert Morris,9
Benjamin Lynch,5
John E. Burr,5
David Jenkings,5
L. A. Grimes,9
T. G. Campbell,5
Wm. C. Munroe,5
Jehial C. Beman,5
President-James W. C. Pennington,5
James C. Mccrumbell,5
Peter H. Clarke,5
J. C. Mccrummell,5
John J. Gaines,5
Horace B. Smith,5
Edward V. Clarke,5
J. M. Whitfield,5
G. B. Vashon,5
Savior,5
Nathan Sandford,5
Robert Clark,5
Jay,5
Peter A. Jay,5
Martin Van Buren,5
Ogden Edwards,5
Ticonderoga,5
Monroe,5
Niles Register,5
Wm. Eustis,5
Morrill,5
Charles Pinckney,5
-- Niles,5
George B. Vashon,15
Benjamin Templeton,5
Wm. Wilson,5
William J. Wilson,9
M. M. Clark,5
T. G. Campbell A. H. Adams,5
W. J. Watkins,9
David H. Jackson,5
F. T. Newsome,5
W. C. Munroe,5
Gloster,5
J. G. Bowers,5
G. T. Downing,5
Driver,5
T. Downing,15
Boyd Parker,5
M. F. Newsome,5
Cass,5
Samuel Aaron,5
A. Dewey,5
H. O. Wagener,5
L. Tillman,5
Josephus Fowler,5
L. Woodson,5
Madam,5
Garnetts,5
Dear Brethren,5
Augusta,13
J. H. Wilson,5
Henry Mckinney,5
Hale,5
Julian,5
Fugitive Bill,5
Wil,5
Mccrummel,5
G. M. Willis,5
R. D. Willis,5
Gaines,13
Joseph C. Holley,5
Bradford King,5
T. Thomas,5
W. H. Channing,5
J. H. Hurley,5
H. C. Smith,5
J. B. Sanderson,14
Abraham C. Rice,5
Jehiel C. Beeman,5
Amos G. Beeman,5
John Freeman,5
James D. Bonner,5
John T. Brittain,5
Holland,5
Boor,5
Booress,5
Stout,5
John Adams,5
Caffres,5
Stollz,5
Slambie,5
Islambi,5
Makanna,5
Kraals,5
Gaika,5
Dushani,5
Kongo,5
Cobden,5
R. Cobden,5
Joseph Sturge,5
Birkenhead,5
Cornet John Rolt,5
Lancaster,5
Glover,5
Lieutenants Robinson,5
Ensign Minty,5
Propontis,5
Dennett,5
Pears,5
Julius Caesar,5
Cathcart,5
John Bull,5
W. Mclain,5
Mclain,5
Anglo Saxon,5
Norman,12
Saxon,5
Heren,5
Lyon,5
King Boombo,5
Boombo,5
J.W.C. Pennington,15
E. D. Bassett,1
Wilbur Fisk,1
John Wesley,5
Junior,1
S. P. Dole,1
Wm. L. Garrison,1
Fisk,1
L. A. Grime,5
Joel W. Lewis,5
Nestor P. Freeman,5
Leonard A. Grimes,5
Henry Hatton,5
T. H. Ringgold,5
Perry Adams,5
Henry O. Remington,5
Wilham H. Woods,5
H Ringgold,5
Grimes,17
Thomas H. Ringgold,5
Perry F. Adams,5
William H. Woods,5
H. Ringgold,5
Jeremiah B. Sanderson,5
Ringgold,5
Sanderson,14
Marr,5
Woods,5
Remington,5
P. F. Adams,5
Fredrick Douglass,9
Jonas W. Clark,5
Lewis Hyden,5
H. O. Remington,5
John M. Lenox,5
C. Lenox Remond,5
